Category,Name,Address,Phone,Email,Website,Rating,Reviews,Google Maps URL
Financial Planners - Barrie,Walton Financial Group Inc,"126 Wellington St W #202, Barrie, ON L4N 1K9, Canada",+1 705-733-5200,info@waltonfinancial.ca,https://waltonfinancial.ca/,5,276,https://www.google.com/maps/search/?api=1&query=Walton%20Financial%20Group%20Inc&query_place_id=ChIJc3WvHTSYKogR42YddB_0bC0
Financial Planners - Barrie,Dunbrook Associates,"150 Dunlop St E #206, Barrie, ON L4M 6H1, Canada",(866) 730-7598,admin@dunbrook.ca,https://dunbrook.ca/,4.9,91,https://www.google.com/maps/search/?api=1&query=Dunbrook%20Associates&query_place_id=ChIJg_7UnueiKogRPmo4y6ONk1Y
Financial Planners - Barrie,Jeffery Cook - Walton Financial Group Inc.,"126 Wellington St W Suite 202, Barrie, ON L4M 1K9, Canada",+1 705-896-0856,info@waltonfinancial.ca,http://www.waltonfinancial.ca/our-team/jeff-cook/,5,12,https://www.google.com/maps/search/?api=1&query=Jeffery%20Cook%20-%20Walton%20Financial%20Group%20Inc.&query_place_id=ChIJmcJYOLqjKogRmsbr-HGF9wA
Financial Planners - Barrie,Atlantis Financial Inc. / Aligned Capital Partners Inc.,"48 Alliance Blvd Suite 201, Barrie, ON L4M 5K3, Canada",+1 705-726-6884,,http://www.atlantisfinancial.ca/,4.9,10,https://www.google.com/maps/search/?api=1&query=Atlantis%20Financial%20Inc.%20%2F%20Aligned%20Capital%20Partners%20Inc.&query_place_id=ChIJ6VEUwxGjKogRlJHs76K1w40
Financial Planners - Barrie,Seven Elements Wealth Planning Inc.,"150 Dunlop St E Suite 201, Barrie, ON L4M 6H1, Canada",+1 705-812-1322,hello@sevenwealth.ca,http://www.sevenwealth.ca/,5,31,https://www.google.com/maps/search/?api=1&query=Seven%20Elements%20Wealth%20Planning%20Inc.&query_place_id=ChIJKRiiNNajKogRTmqB7mbrGpE
Financial Planners - Barrie,Gane Financial,"80 Mary St, Barrie, ON L4N 1T1, Canada",+1 705-733-9595,,http://ganefinancial.com/,5,80,https://www.google.com/maps/search/?api=1&query=Gane%20Financial&query_place_id=ChIJ51pRjCmjKogRag650oJVJ9Q
Financial Planners - Barrie,Tayler Insurance & Estate Planning,"181 Dunlop St W, Barrie, ON L4N 1B4, Canada",+1 705-733-3338,ttayler@taylerinsurance.com,https://www.taylerinsurance.com/,5,22,https://www.google.com/maps/search/?api=1&query=Tayler%20Insurance%20%26%20Estate%20Planning&query_place_id=ChIJHRoF0dSiKogR4oqLJonb4Ck
Financial Planners - Barrie,Spectrum Financial Strategies Inc,"134 Collier St, Barrie, ON L4M 1H4, Canada",+1 705-725-0562,,http://spectrumfinancial.ca/,5,4,https://www.google.com/maps/search/?api=1&query=Spectrum%20Financial%20Strategies%20Inc&query_place_id=ChIJx9tZvJG8KogRKwFWlHSufQI
Financial Planners - Barrie,Financial Design Team Inc.,"258 Bayfield St, Barrie, ON L4M 3B7, Canada",+1 705-252-9010,melanie.adams@sunlife.com,https://advisor.sunlife.ca/melanie.adams/,4.8,18,https://www.google.com/maps/search/?api=1&query=Financial%20Design%20Team%20Inc.&query_place_id=ChIJ8VRwdtiiKogROcP4udkR8J8
Financial Planners - Barrie,Podium Prosperity Group,"54 Cedar Pointe Dr #1207, Barrie, ON L4N 5R7, Canada",+1 705-915-0200,,http://podiumprosperity.com/,5,22,https://www.google.com/maps/search/?api=1&query=Podium%20Prosperity%20Group&query_place_id=ChIJ0btMoy6jKogR-DuD5hGn3oI
Financial Planners - Barrie,Plan With Trevor Insurance And Investments,"49 High St, Barrie, ON L4N 5J4, Canada",+1 705-500-7526,trevor@planwithtrevor.ca,https://planwithtrevor.ca/,5,86,https://www.google.com/maps/search/?api=1&query=Plan%20With%20Trevor%20Insurance%20And%20Investments&query_place_id=ChIJR_ZaMgCjKogRDlOITsMBQeg
Financial Planners - Barrie,Wealth Achievers,"128 Wellington St W Suite 201, Barrie, ON L4N 8J6, Canada",+1 705-818-4653,jason@wealthachievers.ca,https://wealthachievers.ca/,4.1,9,https://www.google.com/maps/search/?api=1&query=Wealth%20Achievers&query_place_id=ChIJN7pHn2mjKogRdRN2QUBMwg8
Financial Planners - Barrie,Edward Jones - Financial Advisor: Sandra Yaquo,"411 Huronia Rd Unit 3, Barrie, ON L4N 9B3, Canada",+1 705-996-5024,"john.smith@gmail.com, accessibility@edwardjones.com",https://www.edwardjones.ca/ca-en/financial-advisor/sandra-yaquo?y_source=1_MTU0OTQ0OTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,5,16,https://www.google.com/maps/search/?api=1&query=Edward%20Jones%20-%20Financial%20Advisor%3A%20Sandra%20Yaquo&query_place_id=ChIJ97u6f769KogRovsYzsIvWsA
Financial Planners - Barrie,Sarah Stewart - TD Financial Planner,"624 Yonge St, Barrie, ON L4N 4E6, Canada",+1 705-727-1704,,http://financialplanners.td.com/sarah.stewart?utm_source=GMB&utm_medium=Local&utm_campaign=Yext&y_source=1_MzI0NTU4My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,5,1,https://www.google.com/maps/search/?api=1&query=Sarah%20Stewart%20-%20TD%20Financial%20Planner&query_place_id=ChIJ3xwuBvKiKogRi7FjhMOOt6c
Financial Planners - Barrie,Bayside Financial,"121 Wellington St W Unit# 305, Barrie, ON L4N 1L2, Canada",+1 705-737-5220,,https://www.baysidefinancial.ca/,5,53,https://www.google.com/maps/search/?api=1&query=Bayside%20Financial&query_place_id=ChIJ8yBgkxy9KogRSRC8ie4MDa0
Financial Planners - Barrie,Scott McEachern - Insurance and Financial Services,"134 Collier St, Barrie, ON L4M 1H4, Canada",+1 705-733-9385,scottmce@csolve.net,http://www.mceachernfinancial.ca/,5,26,https://www.google.com/maps/search/?api=1&query=Scott%20McEachern%20-%20Insurance%20and%20Financial%20Services&query_place_id=ChIJx9tZvJG8KogRH-Xi8RSCuzM
Financial Planners - Barrie,RBC Dominion Securities - Investment Advisor: Alan (AJ) Pieprzak - Barrie,"11 Victoria St Suite 100, Barrie, ON L4N 3A3, Canada",+1 705-796-8352,Alan.Pieprzak@rbc.com,http://www.alanpieprzak.ca/,5,13,https://www.google.com/maps/search/?api=1&query=RBC%20Dominion%20Securities%20-%20Investment%20Advisor%3A%20Alan%20(AJ)%20Pieprzak%20-%20Barrie&query_place_id=ChIJ0xKJnQC9KogR-e1PdEBOeqY
Financial Planners - Barrie,Infinite Financial,"387 Mapleview Dr W, Barrie, ON L4N 9G4, Canada",+1 705-797-4941,,http://infinitefinancial.ca/,5,28,https://www.google.com/maps/search/?api=1&query=Infinite%20Financial&query_place_id=ChIJr_4O2y29KogRjP77dIFDtOY
Financial Planners - Barrie,A. Jones Wealth & Estate Planning Inc.,"40 Clapperton St, Barrie, ON L4M 3E7, Canada",+1 705-721-0450,officeadmin@ajwep.ca,https://aljones.ca/,5,1,https://www.google.com/maps/search/?api=1&query=A.%20Jones%20Wealth%20%26%20Estate%20Planning%20Inc.&query_place_id=ChIJwZUrLCmjKogRi8E14x_smpQ
Financial Planners - Barrie,IG Wealth Management,"55 Mulcaster St Suite 420, Barrie, ON L4M 0J4, Canada",+1 705-719-6773,,https://www.ig.ca/en/office/BarrieYork-Simcoe,4.6,7,https://www.google.com/maps/search/?api=1&query=IG%20Wealth%20Management&query_place_id=ChIJDR_h-za8KogRlFB-QzcHxqQ
Accountants - Barrie,Michael Kostrich CPA Professional Corporation,"11 Victoria St #220, Barrie, ON L4N 6T3, Canada",+1 705-735-9950,mike@kostrich.ca,http://kostrich.ca/,4.7,40,https://www.google.com/maps/search/?api=1&query=Michael%20Kostrich%20CPA%20Professional%20Corporation&query_place_id=ChIJSyuRQtS8KogRIsSP6FwI7hY
Accountants - Barrie,"Catherine Barrie CPA, MBA, TEP","78 Mary St, Barrie, ON L4N 1T1, Canada",+1 705-719-7778,info@catherinebarrie.ca,https://catherinebarrie.com/,4.8,18,https://www.google.com/maps/search/?api=1&query=Catherine%20Barrie%20CPA%2C%20MBA%2C%20TEP&query_place_id=ChIJN9aHpV2jKogRWOi1-Kn8H6s
Accountants - Barrie,Accountor CPA Accounting Bookkeeping and Tax Experts,"25 Hart Dr Unit 14B, Barrie, ON L4N 5R8, Canada",+1 705-315-0293,info@accountor.ca,https://accountor.ca/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business_barrie,5,59,https://www.google.com/maps/search/?api=1&query=Accountor%20CPA%20Accounting%20Bookkeeping%20and%20Tax%20Experts&query_place_id=ChIJKQU1Nc69KogRVhrfxa_05D8
Accountants - Barrie,Strathdee Polley & Co.,"149 Welham Rd #16, Barrie, ON L4N 8Y3, Canada",+1 705-737-0983,"Rebecca@spco.ca, Michael@spco.ca",http://www.spco.ca/,4.9,57,https://www.google.com/maps/search/?api=1&query=Strathdee%20Polley%20%26%20Co.&query_place_id=ChIJ2RIy-CijKogRLCPzr8BLZcI
Accountants - Barrie,Accounting House Professional Accountants,"494 Veterans Dr Unit 4, Barrie, ON L4N 9J5, Canada",+1 705-726-1009,,http://www.accthouse.ca/,5,43,https://www.google.com/maps/search/?api=1&query=Accounting%20House%20Professional%20Accountants&query_place_id=ChIJOYkgF7m9KogRhLJKtlMPV60
Accountants - Barrie,Rose Tax & Accounting Service,"49 Essa Rd, Barrie, ON L4N 3K4, Canada",+1 705-721-1084,,https://www.rosetaxservice.com/,4.1,252,https://www.google.com/maps/search/?api=1&query=Rose%20Tax%20%26%20Accounting%20Service&query_place_id=ChIJtR2N5bWiKogRZoDehDk84ho
Accountants - Barrie,Bayside Financial,"121 Wellington St W Unit# 305, Barrie, ON L4N 1L2, Canada",+1 705-737-5220,,https://www.baysidefinancial.ca/,5,53,https://www.google.com/maps/search/?api=1&query=Bayside%20Financial&query_place_id=ChIJ8yBgkxy9KogRSRC8ie4MDa0
Accountants - Barrie,Debbie Sitzer Professional Corporation,"250 Bayview Dr #9, Barrie, ON L4N 4Y8, Canada",+1 705-735-2550,,http://www.debbiesitzer.com/,4.8,34,https://www.google.com/maps/search/?api=1&query=Debbie%20Sitzer%20Professional%20Corporation&query_place_id=ChIJRfiQZz69KogRkBaXayj-ivU
Accountants - Barrie,Smith Sykes Leeper & Tunstall LLP,"660 Bayview Dr, Barrie, ON L4N 9P5, Canada",+1 705-739-7566,"info@sslgroup.ca, faith.macintyre@sslgroup.ca, anne.ffrench@sslgroup.ca",http://www.sslgroup.ca/,4.7,14,https://www.google.com/maps/search/?api=1&query=Smith%20Sykes%20Leeper%20%26%20Tunstall%20LLP&query_place_id=ChIJwZJK8EO8KogRVhi9nJwXMCE
Accountants - Barrie,Rumley Holmes LLP,"47 Harley Ct #7, Barrie, ON L4N 8V4, Canada",+1 705-722-4272,,https://www.rhpartners.ca/,4.2,15,https://www.google.com/maps/search/?api=1&query=Rumley%20Holmes%20LLP&query_place_id=ChIJtfZKzTGjKogRYyxKNmmSgTM
Accountants - Barrie,York Simcoe Accounting Inc,"7 Sophia St W, Barrie, ON L4N 1H9, Canada",+1 705-726-9544,"info@yorksimcoe.com, sarah@yorksimcoe.com, matt@yorksimcoe.com",http://www.yorksimcoe.com/,4.8,21,https://www.google.com/maps/search/?api=1&query=York%20Simcoe%20Accounting%20Inc&query_place_id=ChIJQf11GjK9KogRcqX0xj5OtW4
Accountants - Barrie,Business Solutions,"215 Mary Anne Dr, Barrie, ON L4N 4T1, Canada",+1 705-725-0336,"debra@BusinessSolutionsBarrie.com, info@apextechnol.com",http://www.businesssolutionsbarrie.com/,5,153,https://www.google.com/maps/search/?api=1&query=Business%20Solutions&query_place_id=ChIJYbxWm0a8KogR17owEvNEnK8
Accountants - Barrie,Diamond Tree Accounting | Barrie,"3 Sophia St E, Barrie, ON L4M 1Y3, Canada",+1 705-720-1955,,http://www.diamondtreeaccounting.com/?utm_source=gmblisting&utm_medium=organic&utm_campaign=gmb,3.9,37,https://www.google.com/maps/search/?api=1&query=Diamond%20Tree%20Accounting%20%7C%20Barrie&query_place_id=ChIJ16vN1yijKogRDlWkb07Mev4
Accountants - Barrie,Iannello and Associates Professional Corporation,"162 King St 2nd floor, Barrie, ON L4N 6L2, Canada",+1 705-300-2349,info@iannellocpa.com,https://iannellocpa.com/,4.9,31,https://www.google.com/maps/search/?api=1&query=Iannello%20and%20Associates%20Professional%20Corporation&query_place_id=ChIJ4TXHUBy9KogRK4zvdd9LjZY
Accountants - Barrie,BDO Canada LLP - Barrie,"300 Lakeshore Dr #300, Barrie, ON L4N 4C3, Canada",+1 705-726-6331,,https://www.bdo.ca/locations/bdo-barrie/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=300LakeshoreDrBarrie,4.2,21,https://www.google.com/maps/search/?api=1&query=BDO%20Canada%20LLP%20-%20Barrie&query_place_id=ChIJCYeTzbm8KogRI2h41hzYqPw
Accountants - Barrie,BFC Tax Accountants,"49 High St, Barrie, ON L4N 5J4, Canada",+1 705-300-6935,info@bfc.tax,https://bfc.tax/,4.7,19,https://www.google.com/maps/search/?api=1&query=BFC%20Tax%20Accountants&query_place_id=ChIJdZmLdG-jLIgRDBByb3mRJOk
Accountants - Barrie,Powell Jones LLP,"121 Anne St S, Barrie, ON L4N 7B6, Canada",+1 705-728-7461,"info@powelljones.ca, lnoonan@powelljones.ca",https://www.powelljones.ca/,3.7,9,https://www.google.com/maps/search/?api=1&query=Powell%20Jones%20LLP&query_place_id=ChIJkaDyNia9KogRZgFeqFXmNAE
Accountants - Barrie,Dalcourt Accounting Services - Chartered Professional Accountant,"78 Mary St, Barrie, ON L4N 1T1, Canada",+1 705-728-4939,info@barriedalcourt.com,https://barriedalcourt.com/,5,8,https://www.google.com/maps/search/?api=1&query=Dalcourt%20Accounting%20Services%20-%20Chartered%20Professional%20Accountant&query_place_id=ChIJ4Y5z7Dy9KogRJkISVCkqim4
Accountants - Barrie,Jonathan Audette Professional Corporation,"11 Ferris Ln Suite 304, Barrie, ON L4M 3B3, Canada",+1 705-816-4462,,http://www.audetteaccounting.ca/,5,13,https://www.google.com/maps/search/?api=1&query=Jonathan%20Audette%20Professional%20Corporation&query_place_id=ChIJI-dfiS29KogRywXXXNMVCDw
Accountants - Barrie,Gold Bright Moneymatters,,+1 647-394-3270,,https://www.gbmoneymatrs.ca/,5,70,https://www.google.com/maps/search/?api=1&query=Gold%20Bright%20Moneymatters&query_place_id=ChIJj_uvblnVNKgRwGPKxz0KpC4
Accountants - Simcoe County,York Simcoe Accounting Inc,"7 Sophia St W, Barrie, ON L4N 1H9, Canada",+1 705-726-9544,"info@yorksimcoe.com, sarah@yorksimcoe.com, matt@yorksimcoe.com",http://www.yorksimcoe.com/,4.8,21,https://www.google.com/maps/search/?api=1&query=York%20Simcoe%20Accounting%20Inc&query_place_id=ChIJQf11GjK9KogRcqX0xj5OtW4
Accountants - Simcoe County,Padgett South Simcoe,"339 Mill St, Angus, ON L3W 0E2, Canada",+1 705-410-3641,"padgettsouthsimcoe@outlook.com, webmaster@smallbizpros.com",https://southsimcoe.smallbizpros.ca/,4.6,18,https://www.google.com/maps/search/?api=1&query=Padgett%20South%20Simcoe&query_place_id=ChIJT4N7sS2SKogRAK-2H4sSXS4
Accountants - Simcoe County,Brock Simcoe Accounting,"3 Progress Dr, Orillia, ON L3V 0T7, Canada",+1 705-329-2570,"canningtonclients@wgscma.ca, orilliaclients@wgscma.ca, contact@wgscma.ca",http://www.wgscma.ca/,4.5,2,https://www.google.com/maps/search/?api=1&query=Brock%20Simcoe%20Accounting&query_place_id=ChIJjQ352lmpKk0RKP_KQVST34g
Accountants - Simcoe County,Michael Kostrich CPA Professional Corporation,"11 Victoria St #220, Barrie, ON L4N 6T3, Canada",+1 705-735-9950,mike@kostrich.ca,http://kostrich.ca/,4.7,40,https://www.google.com/maps/search/?api=1&query=Michael%20Kostrich%20CPA%20Professional%20Corporation&query_place_id=ChIJSyuRQtS8KogRIsSP6FwI7hY
Accountants - Simcoe County,Smith Sykes Leeper & Tunstall LLP,"660 Bayview Dr, Barrie, ON L4N 9P5, Canada",+1 705-739-7566,"info@sslgroup.ca, faith.macintyre@sslgroup.ca, anne.ffrench@sslgroup.ca",http://www.sslgroup.ca/,4.7,14,https://www.google.com/maps/search/?api=1&query=Smith%20Sykes%20Leeper%20%26%20Tunstall%20LLP&query_place_id=ChIJwZJK8EO8KogRVhi9nJwXMCE
Accountants - Simcoe County,"Catherine Barrie CPA, MBA, TEP","78 Mary St, Barrie, ON L4N 1T1, Canada",+1 705-719-7778,info@catherinebarrie.ca,https://catherinebarrie.com/,4.8,18,https://www.google.com/maps/search/?api=1&query=Catherine%20Barrie%20CPA%2C%20MBA%2C%20TEP&query_place_id=ChIJN9aHpV2jKogRWOi1-Kn8H6s
Accountants - Simcoe County,Simcoe Bookkeeping & Tax relief,"74 Curtis St, Angus, ON L0M 1B0, Canada",+1 705-797-4924,,,5,20,https://www.google.com/maps/search/?api=1&query=Simcoe%20Bookkeeping%20%26%20Tax%20relief&query_place_id=ChIJAVuGzy-SKogRNpUYXmDSwi4
Accountants - Simcoe County,Morrison CPA Professional Corporation,"1895 Commerce Park Dr, Innisfil, ON L9S 4A2, Canada",+1 705-436-9322,"info@morrisoncpa.ca, %20info@morrisoncpa.ca, pmorrison@morrisoncpa.ca",https://www.morrisoncpa.ca/,4.8,28,https://www.google.com/maps/search/?api=1&query=Morrison%20CPA%20Professional%20Corporation&query_place_id=ChIJfTeCbbi-KogRQ9jpD4bzlEM
Accountants - Simcoe County,"Nadeem Dean, CPA","158 Bowerman Blvd, Alliston, ON L9R 1N9, Canada",+1 416-302-2502,nadeem@deanaccounting.ca,http://www.deanaccounting.ca/,5,114,https://www.google.com/maps/search/?api=1&query=Nadeem%20Dean%2C%20CPA&query_place_id=ChIJ6e1vmgvvKogRz9FehtwjZYA
Accountants - Simcoe County,Accountor CPA Accounting Bookkeeping and Tax Experts,"25 Hart Dr Unit 14B, Barrie, ON L4N 5R8, Canada",+1 705-315-0293,info@accountor.ca,https://accountor.ca/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business_barrie,5,59,https://www.google.com/maps/search/?api=1&query=Accountor%20CPA%20Accounting%20Bookkeeping%20and%20Tax%20Experts&query_place_id=ChIJKQU1Nc69KogRVhrfxa_05D8
Accountants - Simcoe County,Simcoe Tax Service,"Simcoe Tax Service by Paul Langdon, 330B Edgehill Dr, Barrie, ON L4N 9X4, Canada",+1 705-796-4625,filler@godaddy.com,http://simcoetaxservice.ca/,5,4,https://www.google.com/maps/search/?api=1&query=Simcoe%20Tax%20Service&query_place_id=ChIJB46VLlC9KogRgoWAPquXPWg
Accountants - Simcoe County,SGCPA Professional Corporation,"7291 ON-26, Stayner, ON L0M 1S0, Canada",+1 705-428-2171,info@sgcpapro.com,https://sgcpapro.com/,4.5,31,https://www.google.com/maps/search/?api=1&query=SGCPA%20Professional%20Corporation&query_place_id=ChIJf7AwLH2JKogRphYfYsa9eo8
Accountants - Simcoe County,"Clearview Professional Corporation, Chartered Professional Accountant",,+1 437-291-9168,info@clearviewprofessionalcorporation.ca,https://clearviewprofessionalcorporation.ca/,5,11,https://www.google.com/maps/search/?api=1&query=Clearview%20Professional%20Corporation%2C%20Chartered%20Professional%20Accountant&query_place_id=ChIJqe0cGs1aUa4Rs3VIw5RLiqQ
Accountants - Simcoe County,Whitton Accounting Services,"763 Norfolk St S #2, Simcoe, ON N3Y 4K2, Canada",+1 519-426-4447,whitton@kwic.com,http://whittonaccountingservices.ca/,5,1,https://www.google.com/maps/search/?api=1&query=Whitton%20Accounting%20Services&query_place_id=ChIJgWjcb8VNLIgR3-s7tUG98MQ
